,text,targets
230,"Trust him , he 's more faithful than the rising sun .","[{'span1': [9, 11], 'span_word': 'rising sun', 'label': 'nonliteral'}]"
231,Democrats and Republicans will agree on a tax reform bill when pigs will have wings !,"[{'span1': [11, 15], 'span_word': 'pigs wings', 'label': 'nonliteral'}]"
232,"She has so many watches , she 'd need eight arms to wear them all .","[{'span1': [7, 11], 'span_word': ""'d need eight arms"", 'label': 'nonliteral'}]"
233,Completing the puzzle took me decades .,"[{'span1': [5, 6], 'span_word': 'decades', 'label': 'nonliteral'}]"
234,I am tormented day and night .,"[{'span1': [3, 6], 'span_word': 'day night', 'label': 'nonliteral'}]"
235,I was mortally sorry .,"[{'span1': [2, 3], 'span_word': 'mortally', 'label': 'nonliteral'}]"
236,That idea is eating away at him .,"[{'span1': [3, 5], 'span_word': 'eating away', 'label': 'nonliteral'}]"
237,"As he grew , Victor became a shining star in a family of achievers .","[{'span1': [7, 9], 'span_word': 'shining star', 'label': 'nonliteral'}]"
238,Give a man rope enough and he will hang himself .,"[{'span1': [8, 9], 'span_word': 'hang', 'label': 'nonliteral'}]"
239,Your indifference is tearing me apart .,"[{'span1': [3, 6], 'span_word': 'tearing apart', 'label': 'nonliteral'}]"
240,You hear that noise ? It 's ear-piercing .,"[{'span1': [7, 8], 'span_word': 'ear-piercing', 'label': 'nonliteral'}]"
241,The ancient castle was so big that it took a week to walk from one end to the other .,"[{'span1': [14, 16], 'span_word': 'one end', 'label': 'nonliteral'}]"
242,Your words are poison .,"[{'span1': [3, 4], 'span_word': 'poison', 'label': 'nonliteral'}]"
243,Sarah is completely lacking any sense of humor .,"[{'span1': [2, 4], 'span_word': 'completely lacking', 'label': 'nonliteral'}]"
244,Swamps of people are coming to my birthday party .,"[{'span1': [0, 1], 'span_word': 'swamps', 'label': 'nonliteral'}]"
245,The blood flowing from the boy 's tooth covered the tiled floor .,"[{'span1': [8, 12], 'span_word': 'covered floor', 'label': 'nonliteral'}]"
246,It seems to have been raining for fourty days and fourty nights .,"[{'span1': [7, 9], 'span_word': 'fourty days', 'label': 'nonliteral'}]"
247,The flap of skin opened like a cupboard door .,"[{'span1': [7, 9], 'span_word': 'cupboard door', 'label': 'nonliteral'}]"
248,Your predictions were right . You have a third eye .,"[{'span1': [8, 10], 'span_word': 'third eye', 'label': 'nonliteral'}]"
249,They were in a trance when arguing with that manipulator .,"[{'span1': [4, 5], 'span_word': 'trance', 'label': 'nonliteral'}]"
250,Those criminals are feasting on violence .,"[{'span1': [3, 4], 'span_word': 'feasting', 'label': 'nonliteral'}]"
251,My evening jog with Bill turned into a marathon .,"[{'span1': [8, 9], 'span_word': 'marathon', 'label': 'nonliteral'}]"
252,The global crisis has seen prices skyrocket over the past week .,"[{'span1': [6, 7], 'span_word': 'skyrocket', 'label': 'nonliteral'}]"
253,The new king 'll be all-time adored .,"[{'span1': [5, 6], 'span_word': 'all-time', 'label': 'nonliteral'}]"
254,There are cascades of clothes in my wardrobe !,"[{'span1': [2, 3], 'span_word': 'cascades', 'label': 'nonliteral'}]"
255,You will give a good first impression without a doubt .,"[{'span1': [7, 10], 'span_word': 'without doubt', 'label': 'nonliteral'}]"
256,This is the single most important advice of your life .,"[{'span1': [3, 4], 'span_word': 'single', 'label': 'nonliteral'}]"
257,Hyperbole is the greatest thing in the history of the universe .,"[{'span1': [3, 11], 'span_word': 'greatest history universe', 'label': 'nonliteral'}]"
258,The Eagle soars in the summit of the azure .,"[{'span1': [5, 6], 'span_word': 'summit', 'label': 'nonliteral'}]"
259,"As a father , in this moment , there 's just pain in my heart .","[{'span1': [11, 12], 'span_word': 'pain', 'label': 'nonliteral'}]"
260,Bring these vermin to the Palace of Justice .,"[{'span1': [2, 3], 'span_word': 'vermin', 'label': 'nonliteral'}]"
261,"Social security , health , welfare and education systems are being laid on a Procrustean bed .","[{'span1': [14, 16], 'span_word': 'procrustean bed', 'label': 'nonliteral'}]"
262,The secretary is a boot licking lapdog .,"[{'span1': [0, 1], 'span_word': '', 'label': 'nonliteral'}]"
263,My dog can run faster than a thunderbolt .,"[{'span1': [7, 8], 'span_word': 'thunderbolt', 'label': 'nonliteral'}]"
264,Does n't change the fact that we 're up to our necks in muck .,"[{'span1': [11, 12], 'span_word': 'necks', 'label': 'nonliteral'}]"
265,He orders his family not to forget that he is the king of his house .,"[{'span1': [11, 12], 'span_word': 'king', 'label': 'nonliteral'}]"
266,She was worn to a shadow after months of nursing her sick husband .,"[{'span1': [5, 6], 'span_word': 'shadow', 'label': 'nonliteral'}]"
267,"I heard you possess eagle vision , Mister .","[{'span1': [4, 6], 'span_word': 'eagle vision', 'label': 'nonliteral'}]"
268,I 'm on a whisky diet . I 've lost three days already .,"[{'span1': [9, 10], 'span_word': 'lost', 'label': 'nonliteral'}]"
269,"Do n't touch a woman , not even with a flower .","[{'span1': [7, 11], 'span_word': 'even flower', 'label': 'nonliteral'}]"
270,I thought I 'd found sugar-free chocolate nirvana at first taste .,"[{'span1': [7, 8], 'span_word': 'nirvana', 'label': 'nonliteral'}]"
271,It 'll just - bam ! - hit me like lightning .,"[{'span1': [9, 11], 'span_word': 'like lightning', 'label': 'nonliteral'}]"
272,This year the new fashion trends spread like wildfire .,"[{'span1': [6, 9], 'span_word': 'spread like wildfire', 'label': 'nonliteral'}]"
273,She ca n't see but darkness : she 's desperate .,"[{'span1': [1, 4], 'span_word': ""ca n't see"", 'label': 'nonliteral'}]"
274,Seeing you again - my life seems to stop there .,"[{'span1': [8, 9], 'span_word': 'stop', 'label': 'nonliteral'}]"
275,This new computer program is all Greek to me .,"[{'span1': [6, 7], 'span_word': 'greek', 'label': 'nonliteral'}]"
276,The boy is an Adonis ... and he knows it .,"[{'span1': [0, 1], 'span_word': '', 'label': 'nonliteral'}]"
277,I would n't miss the party for anything in the world .,"[{'span1': [7, 11], 'span_word': 'anything world', 'label': 'nonliteral'}]"
278,"At this price , it 's a steal !","[{'span1': [7, 8], 'span_word': 'steal', 'label': 'nonliteral'}]"
279,I wear my favourite t-shirt day in day out .,"[{'span1': [5, 8], 'span_word': 'day day', 'label': 'nonliteral'}]"
280,"She stood frozen , searching for him .","[{'span1': [2, 3], 'span_word': 'frozen', 'label': 'nonliteral'}]"
281,My oral exam was very quick . I was done seconds after entering the classroom .,"[{'span1': [10, 11], 'span_word': 'seconds', 'label': 'nonliteral'}]"
282,The reputation of this pizza 's hanging by a thread .,"[{'span1': [6, 10], 'span_word': 'hanging thread', 'label': 'nonliteral'}]"
283,A friend of mine brought the chips into work with the claim `` these will change your life '' .,"[{'span1': [15, 18], 'span_word': 'change life', 'label': 'nonliteral'}]"
284,I 'm begging ! Give me the last piece of the cake .,"[{'span1': [2, 3], 'span_word': 'begging', 'label': 'nonliteral'}]"
285,The water in the sea is almost boiling .,"[{'span1': [6, 8], 'span_word': 'almost boiling', 'label': 'nonliteral'}]"
286,Life goes in a heartbeat .,"[{'span1': [4, 5], 'span_word': 'heartbeat', 'label': 'nonliteral'}]"
287,Music is my daily drug .,"[{'span1': [3, 5], 'span_word': 'daily drug', 'label': 'nonliteral'}]"
288,Fools rush in where angels fear to tread .,"[{'span1': [4, 6], 'span_word': 'angels fear', 'label': 'nonliteral'}]"
289,The sins of the people would weight so heavy upon the land that the whole town would collapse .,"[{'span1': [5, 7], 'span_word': 'would weight', 'label': 'nonliteral'}]"
290,The player is undeniably talented .,"[{'span1': [3, 4], 'span_word': 'undeniably', 'label': 'nonliteral'}]"
291,She met my dad and then got whizzed off to so many different countries .,"[{'span1': [7, 8], 'span_word': 'whizzed', 'label': 'nonliteral'}]"
292,"Oh , you are soaked to the bone , monsieur .","[{'span1': [4, 8], 'span_word': 'soaked bone', 'label': 'nonliteral'}]"
293,We were getting to be like two goldfish in a bowl with no way out .,"[{'span1': [6, 8], 'span_word': 'two goldfish', 'label': 'nonliteral'}]"
294,"Oh , my mother , if you cough somewhere in Siberia she 'll hear you .","[{'span1': [12, 14], 'span_word': ""'ll hear"", 'label': 'nonliteral'}]"
295,"Intellectually speaking , this city is almost as sterile as the Sahara Desert .","[{'span1': [11, 13], 'span_word': 'sahara desert', 'label': 'nonliteral'}]"
296,She has a fairy aura .,"[{'span1': [3, 4], 'span_word': 'fairy', 'label': 'nonliteral'}]"
297,A man without purpose is an empty individual .,"[{'span1': [6, 7], 'span_word': 'empty', 'label': 'nonliteral'}]"
298,He is a good dog who goes to church .,"[{'span1': [4, 9], 'span_word': 'dog goes church', 'label': 'nonliteral'}]"
299,This spray will fill your days with the freshness of the ocean breeze .,"[{'span1': [3, 4], 'span_word': 'fill', 'label': 'nonliteral'}]"
300,For dinner he would eat a silo full of grain .,"[{'span1': [6, 8], 'span_word': 'silo full', 'label': 'nonliteral'}]"
301,"The temperature was so low , I saw polar bears wearing jackets .","[{'span1': [8, 10], 'span_word': 'polar bears', 'label': 'nonliteral'}]"
302,Bikers coming from behind you are a calamity on the roads .,"[{'span1': [7, 8], 'span_word': 'calamity', 'label': 'nonliteral'}]"
303,"His teeth would uncover , and shine savage like the furnaces .","[{'span1': [6, 9], 'span_word': 'shine savage like', 'label': 'nonliteral'}]"
304,Taking my eyes off her is absurd .,"[{'span1': [6, 7], 'span_word': 'absurd', 'label': 'nonliteral'}]"
305,"I only step on your toe , do n't make a federal case out of it .","[{'span1': [11, 13], 'span_word': 'federal case', 'label': 'nonliteral'}]"
306,Jack Marshall would n't hurt a fly .,"[{'span1': [6, 7], 'span_word': 'fly', 'label': 'nonliteral'}]"
307,Ice-cream saves human beings from boredom .,"[{'span1': [0, 1], 'span_word': '', 'label': 'nonliteral'}]"
308,You are but unreasoning apes .,"[{'span1': [4, 5], 'span_word': 'apes', 'label': 'nonliteral'}]"
309,He has a whole room filled with cash .,"[{'span1': [3, 6], 'span_word': 'whole room filled', 'label': 'nonliteral'}]"
310,I 'm a hundred percent American .,"[{'span1': [3, 5], 'span_word': 'hundred percent', 'label': 'nonliteral'}]"
311,"No matter what anybody says , you 'll always be a prince to me .","[{'span1': [11, 12], 'span_word': 'prince', 'label': 'nonliteral'}]"
312,"Of the two brothers , the oldest was unquestionably the smartest .","[{'span1': [8, 9], 'span_word': 'unquestionably', 'label': 'nonliteral'}]"
313,Ours is the world 's favourite airline .,"[{'span1': [3, 5], 'span_word': ""world 's"", 'label': 'nonliteral'}]"
314,Marta is pathologically unpunctual to her appointments .,"[{'span1': [2, 3], 'span_word': 'pathologically', 'label': 'nonliteral'}]"
315,Stop bothering him : you 're playing with fire .,"[{'span1': [6, 9], 'span_word': 'playing fire', 'label': 'nonliteral'}]"
316,It took him about an hour to comb his hair .,"[{'span1': [5, 6], 'span_word': 'hour', 'label': 'nonliteral'}]"
317,College students eat crap .,"[{'span1': [3, 4], 'span_word': 'crap', 'label': 'nonliteral'}]"
318,Life is rushing by like a river in flood .,"[{'span1': [6, 9], 'span_word': 'river flood', 'label': 'nonliteral'}]"
319,His nose became so long that he could not even turn around .,"[{'span1': [9, 12], 'span_word': 'even turn around', 'label': 'nonliteral'}]"
320,The old driver arrived not a second too soon .,"[{'span1': [6, 9], 'span_word': 'second soon', 'label': 'nonliteral'}]"
321,It must be a dream !,"[{'span1': [1, 5], 'span_word': 'must dream', 'label': 'nonliteral'}]"
322,He has as many debts as a dog has fleas .,"[{'span1': [7, 10], 'span_word': 'dog fleas', 'label': 'nonliteral'}]"
323,That chocolate melts in your mouth like a single snowflake in the palm of your hand .,"[{'span1': [8, 10], 'span_word': 'single snowflake', 'label': 'nonliteral'}]"
324,At no time does a watched pot boil .,"[{'span1': [2, 3], 'span_word': 'time', 'label': 'nonliteral'}]"
325,The work of the farm seemed to rest entirely on this horse 's mighty shoulders .,"[{'span1': [8, 9], 'span_word': 'entirely', 'label': 'nonliteral'}]"
326,Shopping drained me today .,"[{'span1': [1, 2], 'span_word': 'drained', 'label': 'nonliteral'}]"
327,"Here he was , in total control .","[{'span1': [5, 6], 'span_word': 'total', 'label': 'nonliteral'}]"
328,Shower her with compliments .,"[{'span1': [0, 1], 'span_word': 'shower', 'label': 'nonliteral'}]"
329,Life is a hospital where we fight to cure ourselves .,"[{'span1': [3, 4], 'span_word': 'hospital', 'label': 'nonliteral'}]"
330,Let 's be best friends in perpetuity .,"[{'span1': [6, 7], 'span_word': 'perpetuity', 'label': 'nonliteral'}]"
331,I 'm burning of envy .,"[{'span1': [2, 3], 'span_word': 'burning', 'label': 'nonliteral'}]"
332,The tourists will soak up any information you give them .,"[{'span1': [3, 4], 'span_word': 'soak', 'label': 'nonliteral'}]"
333,Making drastic choice is necessary for an adventurous life .,"[{'span1': [4, 9], 'span_word': 'necessary life', 'label': 'nonliteral'}]"
334,Professors read a boatload of essays .,"[{'span1': [3, 4], 'span_word': 'boatload', 'label': 'nonliteral'}]"
335,"He that drinks beer , only thinks beer .","[{'span1': [6, 7], 'span_word': 'thinks', 'label': 'nonliteral'}]"
336,"If our plan goes up in smoke , I leave the group .","[{'span1': [3, 7], 'span_word': 'goes smoke', 'label': 'nonliteral'}]"
337,She can have any boy that she wants .,"[{'span1': [4, 5], 'span_word': 'boy', 'label': 'nonliteral'}]"
338,Anna 's cooking is a force of nature .,"[{'span1': [5, 8], 'span_word': 'force nature', 'label': 'nonliteral'}]"
339,They cooked a turkey the size of a cow .,"[{'span1': [5, 9], 'span_word': 'size cow', 'label': 'nonliteral'}]"
340,It is enough to fright you out of your seven senses .,"[{'span1': [9, 11], 'span_word': 'seven senses', 'label': 'nonliteral'}]"
341,I 'm sold !,"[{'span1': [2, 3], 'span_word': 'sold', 'label': 'nonliteral'}]"
342,It 's unfair how the media is martyrizing the ten year old boy .,"[{'span1': [1, 8], 'span_word': ""'s martyrizing"", 'label': 'nonliteral'}]"
343,There are no words to describe my admiration .,"[{'span1': [3, 8], 'span_word': 'words describe admiration', 'label': 'nonliteral'}]"
344,His ambitious hunger moves him to a pantagruelic attempt .,"[{'span1': [7, 8], 'span_word': 'pantagruelic', 'label': 'nonliteral'}]"
345,"You are a vision of loveliness , darling !","[{'span1': [3, 4], 'span_word': 'vision', 'label': 'nonliteral'}]"
346,"When sorrows come , they come not single but in battalions .","[{'span1': [0, 1], 'span_word': '', 'label': 'nonliteral'}]"
347,April is the cruelest month .,"[{'span1': [3, 4], 'span_word': 'cruelest', 'label': 'nonliteral'}]"
348,I 've found my Atlantis not far from home .,"[{'span1': [4, 5], 'span_word': 'atlantis', 'label': 'nonliteral'}]"
349,"His classmates laughed at him , saying he had a pea-sized brain .","[{'span1': [0, 1], 'span_word': '', 'label': 'nonliteral'}]"
350,Shami and Peter are deliriously happy together .,"[{'span1': [4, 5], 'span_word': 'deliriously', 'label': 'nonliteral'}]"
351,The task was of too herculean a nature to be accomplished within four years .,"[{'span1': [5, 6], 'span_word': 'herculean', 'label': 'nonliteral'}]"
352,I could live on these broccoli and there is no need for anymore to say .,"[{'span1': [1, 3], 'span_word': 'could live', 'label': 'nonliteral'}]"
353,Johnny was scared of his own shadow .,"[{'span1': [2, 7], 'span_word': 'scared shadow', 'label': 'nonliteral'}]"
354,Her eyes were gray and sharp like the points of two picks .,"[{'span1': [5, 7], 'span_word': 'sharp like', 'label': 'nonliteral'}]"
355,Cry me a river .,"[{'span1': [3, 4], 'span_word': 'river', 'label': 'nonliteral'}]"
356,"You can see what she 's thinking , like she 's almost transparent .","[{'span1': [11, 13], 'span_word': 'almost transparent', 'label': 'nonliteral'}]"
357,What kind of sorcery is this ?,"[{'span1': [3, 4], 'span_word': 'sorcery', 'label': 'nonliteral'}]"
358,Love is blind .,"[{'span1': [2, 3], 'span_word': 'blind', 'label': 'nonliteral'}]"
359,Precisely nothing could go wrong with his plan .,"[{'span1': [0, 2], 'span_word': 'precisely nothing', 'label': 'nonliteral'}]"
360,"And he was rich - yes , richer than a king .","[{'span1': [10, 11], 'span_word': 'king', 'label': 'nonliteral'}]"
361,I must impose chains upon myself .,"[{'span1': [3, 5], 'span_word': 'chains upon', 'label': 'nonliteral'}]"
362,An army of artists was crowding the room .,"[{'span1': [1, 2], 'span_word': 'army', 'label': 'nonliteral'}]"
363,I 'm sure you are another Mother Teresa .,"[{'span1': [5, 7], 'span_word': 'another mother', 'label': 'nonliteral'}]"
364,Grandpa is older than dirt .,"[{'span1': [0, 5], 'span_word': 'grandpa dirt', 'label': 'nonliteral'}]"
365,She shows no emotions : she has become an iceberg of a woman .,"[{'span1': [9, 10], 'span_word': 'iceberg', 'label': 'nonliteral'}]"
366,"The coffee was really good , but it costed me my monthly money .","[{'span1': [11, 13], 'span_word': 'monthly money', 'label': 'nonliteral'}]"
367,Her boyfriend would obey her commands like a tame pet .,"[{'span1': [8, 10], 'span_word': 'tame pet', 'label': 'nonliteral'}]"
368,It 's an indefensible sin to steal a pin .,"[{'span1': [3, 5], 'span_word': 'indefensible sin', 'label': 'nonliteral'}]"
369,They are unlike any other olives out there .,"[{'span1': [2, 3], 'span_word': 'unlike', 'label': 'nonliteral'}]"
370,He was born with crystal bones .,"[{'span1': [4, 5], 'span_word': 'crystal', 'label': 'nonliteral'}]"
371,"It 's so hot , it feels like I 'm in a sauna .","[{'span1': [12, 13], 'span_word': 'sauna', 'label': 'nonliteral'}]"
372,Franch 's is more than the best .,"[{'span1': [6, 7], 'span_word': 'best', 'label': 'nonliteral'}]"
373,"She smiled at me , I almost fell out of my chair .","[{'span1': [7, 12], 'span_word': 'fell chair', 'label': 'nonliteral'}]"
374,This new brand is unmistakable .,"[{'span1': [4, 5], 'span_word': 'unmistakable', 'label': 'nonliteral'}]"
375,"I ca n't let go now , I 'm possessed .","[{'span1': [9, 10], 'span_word': 'possessed', 'label': 'nonliteral'}]"
376,The news has been blown out of all proportion .,"[{'span1': [4, 9], 'span_word': 'blown proportion', 'label': 'nonliteral'}]"
377,Her strength awoke in poets a love that is eternal .,"[{'span1': [9, 10], 'span_word': 'eternal', 'label': 'nonliteral'}]"
378,This kind of anger rages like a sea in a storm .,"[{'span1': [7, 11], 'span_word': 'sea storm', 'label': 'nonliteral'}]"
379,"Precious , self-contained , and solitary as an oyster .","[{'span1': [8, 9], 'span_word': 'oyster', 'label': 'nonliteral'}]"
380,He appeared like a descended god .,"[{'span1': [4, 6], 'span_word': 'descended god', 'label': 'nonliteral'}]"
381,"That said , I 'm on the precipice of doom .","[{'span1': [9, 10], 'span_word': 'doom', 'label': 'nonliteral'}]"
382,The best education systems do n't necessarily dole out piles of homework to students .,"[{'span1': [9, 10], 'span_word': 'piles', 'label': 'nonliteral'}]"
383,My little sister gravitates towards me . She 's my satellite .,"[{'span1': [3, 5], 'span_word': 'gravitates towards', 'label': 'nonliteral'}]"
384,"There are no leftovers , he 's a dustbin !","[{'span1': [6, 9], 'span_word': ""'s dustbin"", 'label': 'nonliteral'}]"
385,This room is an oven .,"[{'span1': [4, 5], 'span_word': 'oven', 'label': 'nonliteral'}]"
386,Why do we have four thousand forks and no spoons ?,"[{'span1': [4, 6], 'span_word': 'four thousand', 'label': 'nonliteral'}]"
387,It was a gust of fragrances .,"[{'span1': [3, 4], 'span_word': 'gust', 'label': 'nonliteral'}]"
388,This is a tough situation . You 're having a gorilla on top of you .,"[{'span1': [10, 11], 'span_word': 'gorilla', 'label': 'nonliteral'}]"
389,I want to get you out of my head .,"[{'span1': [8, 9], 'span_word': 'head', 'label': 'nonliteral'}]"
390,There 's dust everywhere .,"[{'span1': [3, 4], 'span_word': 'everywhere', 'label': 'nonliteral'}]"
391,He is so vicious that there should be a circle in Dante 's Inferno specifically for him .,"[{'span1': [11, 14], 'span_word': ""dante 's inferno"", 'label': 'nonliteral'}]"
392,John was called `` the elephant of the class '' for his clumsiness .,"[{'span1': [5, 9], 'span_word': 'elephant class', 'label': 'nonliteral'}]"
393,Looking for a featherweight tripod .,"[{'span1': [3, 4], 'span_word': 'featherweight', 'label': 'nonliteral'}]"
394,"With each of her screams , the world came apart .","[{'span1': [7, 10], 'span_word': 'world came apart', 'label': 'nonliteral'}]"
395,I have a headache the size of Texas .,"[{'span1': [5, 8], 'span_word': 'size texas', 'label': 'nonliteral'}]"
396,The true meaning of decadence can be found in this meal !,"[{'span1': [1, 3], 'span_word': 'true meaning', 'label': 'nonliteral'}]"
397,Every one of her drawings is a rapture for the eyes .,"[{'span1': [7, 8], 'span_word': 'rapture', 'label': 'nonliteral'}]"
398,Have you seen the feverish activity in grandma 's kitchen ?,"[{'span1': [4, 5], 'span_word': 'feverish', 'label': 'nonliteral'}]"
399,Hope deferred makes the heart sick .,"[{'span1': [4, 6], 'span_word': 'heart sick', 'label': 'nonliteral'}]"
400,He is more aged than the hills .,"[{'span1': [6, 7], 'span_word': 'hills', 'label': 'nonliteral'}]"
401,There are ketchup die hard fans out there .,"[{'span1': [3, 5], 'span_word': 'die hard', 'label': 'nonliteral'}]"
402,If I tried to carry all that cargo in my head it would make me stoop-shouldered .,"[{'span1': [0, 1], 'span_word': '', 'label': 'nonliteral'}]"
403,"I do n't lie , I 'm a slave to the truth .","[{'span1': [8, 9], 'span_word': 'slave', 'label': 'nonliteral'}]"
404,You 're too beautiful .,"[{'span1': [0, 1], 'span_word': '', 'label': 'nonliteral'}]"
405,My dad 'll hit the roof when he finds out that I wrecked his car .,"[{'span1': [3, 6], 'span_word': 'hit roof', 'label': 'nonliteral'}]"
406,A player who can stop our team from winning the championship does not exist .,"[{'span1': [13, 14], 'span_word': 'exist', 'label': 'nonliteral'}]"
407,He has an encyclopedic knowledge of the impressionists .,"[{'span1': [3, 4], 'span_word': 'encyclopedic', 'label': 'nonliteral'}]"
408,The king can do no wrong .,"[{'span1': [5, 6], 'span_word': 'wrong', 'label': 'nonliteral'}]"
409,Chris wo n't drive her home because she lives on the other side of the universe .,"[{'span1': [0, 16], 'span_word': 'chris side universe', 'label': 'nonliteral'}]"
410,"Your father is a legend , no one worked hard for the community like he used to do .","[{'span1': [4, 5], 'span_word': 'legend', 'label': 'nonliteral'}]"
411,She enters my brain and cleans the mess .,"[{'span1': [3, 4], 'span_word': 'brain', 'label': 'nonliteral'}]"
412,My heart burns for you .,"[{'span1': [2, 3], 'span_word': 'burns', 'label': 'nonliteral'}]"
413,This croissant made my day .,"[{'span1': [2, 5], 'span_word': 'made day', 'label': 'nonliteral'}]"
414,"Once I get her tuned up , this old car will go like greased lightning .","[{'span1': [13, 15], 'span_word': 'greased lightning', 'label': 'nonliteral'}]"
415,Most of the businesses here are already skating on thin ice because of the economy .,"[{'span1': [9, 11], 'span_word': 'thin ice', 'label': 'nonliteral'}]"
416,You 're an infant dad .,"[{'span1': [3, 4], 'span_word': 'infant', 'label': 'nonliteral'}]"
417,I can make the best pesto in the world .,"[{'span1': [4, 9], 'span_word': 'best world', 'label': 'nonliteral'}]"
418,Bittersweet nectar flows in measureless abundance .,"[{'span1': [4, 5], 'span_word': 'measureless', 'label': 'nonliteral'}]"
419,Religion is the opiate of masse .,"[{'span1': [0, 1], 'span_word': '', 'label': 'nonliteral'}]"
420,"No one knows where Gatsby came from , but he was surely swimming in money .","[{'span1': [12, 13], 'span_word': 'swimming', 'label': 'nonliteral'}]"
421,"Julia is shy but when it comes to fashion business , she 's a war machine .","[{'span1': [14, 16], 'span_word': 'war machine', 'label': 'nonliteral'}]"
422,The story hit the web and inflamed the chat sites .,"[{'span1': [6, 7], 'span_word': 'inflamed', 'label': 'nonliteral'}]"
423,"By the time Alf finishes that story , his beard will be three inches longer .","[{'span1': [12, 15], 'span_word': 'three inches longer', 'label': 'nonliteral'}]"
424,Punctuality is the soul of business .,"[{'span1': [3, 4], 'span_word': 'soul', 'label': 'nonliteral'}]"
425,At no point in my life I 'll say `` never '' .,"[{'span1': [10, 11], 'span_word': 'never', 'label': 'nonliteral'}]"
426,She gave a deadly glare at the people making fun of her .,"[{'span1': [3, 4], 'span_word': 'deadly', 'label': 'nonliteral'}]"
427,It 's hot enough to fry an egg on the sidewalk .,"[{'span1': [10, 11], 'span_word': 'sidewalk', 'label': 'nonliteral'}]"
428,He 's leaping up and on the bed with such force he 'll be catapulted through the roof .,"[{'span1': [14, 18], 'span_word': 'catapulted roof', 'label': 'nonliteral'}]"
429,Needs must when the devil drives .,"[{'span1': [4, 6], 'span_word': 'devil drives', 'label': 'nonliteral'}]"
430,Get a deep knowledge of that world which is man .,"[{'span1': [6, 7], 'span_word': 'world', 'label': 'nonliteral'}]"
431,The air I breathe in a room empty of you is unhealthy .,"[{'span1': [11, 12], 'span_word': 'unhealthy', 'label': 'nonliteral'}]"
432,I 've drowned myself trying to help you .,"[{'span1': [2, 3], 'span_word': 'drowned', 'label': 'nonliteral'}]"
433,She spilled the wine on the table ... this is a catastrophe !,"[{'span1': [9, 10], 'span_word': 'catastrophe', 'label': 'nonliteral'}]"
434,"I mean , you have the kind of talent that I would chop off my head to have .","[{'span1': [12, 13], 'span_word': 'chop', 'label': 'nonliteral'}]"
435,They were gone in no time .,"[{'span1': [5, 6], 'span_word': 'time', 'label': 'nonliteral'}]"
436,He only has garbage in his brain .,"[{'span1': [3, 4], 'span_word': 'garbage', 'label': 'nonliteral'}]"
437,There was a magical atmosphere .,"[{'span1': [3, 4], 'span_word': 'magical', 'label': 'nonliteral'}]"
438,The new shampoo is ten times better than the other .,"[{'span1': [4, 7], 'span_word': 'ten times better', 'label': 'nonliteral'}]"
439,"When spectre-like , I enter alone upon the stubble field .","[{'span1': [1, 2], 'span_word': 'spectre-like', 'label': 'nonliteral'}]"
440,"Sorry , I forgot my head at home .","[{'span1': [5, 6], 'span_word': 'head', 'label': 'nonliteral'}]"
441,I 've been reading `` The little prince '' since I was knee-high to a grasshopper .,"[{'span1': [12, 16], 'span_word': 'knee-high grasshopper', 'label': 'nonliteral'}]"
442,"Nate discovered the reason why she 's still single , despite a legion of suitors .","[{'span1': [12, 13], 'span_word': 'legion', 'label': 'nonliteral'}]"
443,His version of the facts is infinitely more convincing .,"[{'span1': [6, 7], 'span_word': 'infinitely', 'label': 'nonliteral'}]"
444,My whole sense of being had been shattered by an emotional earthquake .,"[{'span1': [11, 12], 'span_word': 'earthquake', 'label': 'nonliteral'}]"
445,There 's no index and the story is n't linear : this book is illegible .,"[{'span1': [14, 15], 'span_word': 'illegible', 'label': 'nonliteral'}]"
446,The most fun you 'll ever have .,"[{'span1': [4, 6], 'span_word': ""'ll ever"", 'label': 'nonliteral'}]"
447,One picture is worth ten thousand words .,"[{'span1': [4, 7], 'span_word': 'ten thousand words', 'label': 'nonliteral'}]"
448,I 'm scared the spider will anaesthetize my legs and start chomping them .,"[{'span1': [10, 12], 'span_word': 'start chomping', 'label': 'nonliteral'}]"
449,"March comes in like a lion , and goes out like a lamb .","[{'span1': [3, 13], 'span_word': 'like lion like lamb', 'label': 'nonliteral'}]"
450,What she touches turns to gold .,"[{'span1': [3, 6], 'span_word': 'turns gold', 'label': 'nonliteral'}]"
451,John 's new idea is a theoretical diamond .,"[{'span1': [7, 8], 'span_word': 'diamond', 'label': 'nonliteral'}]"
452,Not a word of it made sense .,"[{'span1': [2, 3], 'span_word': 'word', 'label': 'nonliteral'}]"
453,I would eat pizza at every moment .,"[{'span1': [5, 7], 'span_word': 'every moment', 'label': 'nonliteral'}]"
454,The chance of your friend seeing us is astronomically small .,"[{'span1': [8, 9], 'span_word': 'astronomically', 'label': 'nonliteral'}]"
455,After lunch I was full to overflowing .,"[{'span1': [6, 7], 'span_word': 'overflowing', 'label': 'nonliteral'}]"
456,"At that point , the presidency was fatally wounded .","[{'span1': [7, 9], 'span_word': 'fatally wounded', 'label': 'nonliteral'}]"
457,She has a magic touch I mean she fixes my problems .,"[{'span1': [3, 5], 'span_word': 'magic touch', 'label': 'nonliteral'}]"
458,This is honestly the best seasoning salt in all the land .,"[{'span1': [10, 11], 'span_word': 'land', 'label': 'nonliteral'}]"
